text,label
who sells dextrose,BUY
find sugar importers,BUY
I want to buy cotton from China,BUY
looking for wheat suppliers,BUY
source palm oil,BUY
need lactose supplier,BUY
buy rice from Vietnam,BUY
find salt exporters,BUY
want to import maize,BUY
dextrose suppliers please,BUY
where can I buy glucose syrup,BUY
find me sucrose suppliers,BUY
I need citric acid from Europe,BUY
show me white sugar suppliers,BUY
sourcing dextrose anhydrous,BUY
lactose monohydrate exporters worldwide,BUY
best dextrose anhydrous suppliers,BUY
wheat flour suppliers from India,BUY
palm oil suppliers Malaysia,BUY
sodium chloride exporters from China,BUY
starch suppliers from Europe,BUY
find fructose exporters,BUY
casein protein suppliers,BUY
looking to purchase whey protein,BUY
import maize starch to Pakistan,BUY
sugar cane suppliers from Brazil,BUY
find me glucose exporters,BUY
want to buy soy lecithin,BUY
suppliers for maltodextrin,BUY
need a source for pectin,BUY
where to buy sorbitol,BUY
find sunflower oil suppliers,BUY
canola oil importers worldwide,BUY
palm kernel oil exporters,BUY
find good rice starch supplier,BUY
want to import tapioca starch,BUY
looking for xanthan gum suppliers,BUY
need carrageenan from Philippines,BUY
buy guar gum from India,BUY
calcium carbonate suppliers from China,BUY
who buys wheat,SELL
find buyers for our cotton,SELL
which countries import Pakistani mangoes,SELL
sell sugar to,SELL
demand for rice,SELL
exporters of cotton,SELL
markets for our wheat,SELL
sell lactose,SELL
export palm oil,SELL
selling dextrose,SELL
who imports sugar,SELL
find me buyers for citric acid,SELL
which companies import our wheat starch,SELL
buyers for our sodium chloride,SELL
I want to sell my dextrose,SELL
looking for buyers of our palm oil,SELL
where to export our maize,SELL
find international buyers for cotton,SELL
who will buy our lactose monohydrate,SELL
sell our wheat flour to,SELL
export destinations for sugar,SELL
buyers for pharmaceutical glucose,SELL
I have dextrose anhydrous to sell,SELL
can I sell maize starch,SELL
need buyers for our rice,SELL
who purchases soy lecithin,SELL
find importers of palm kernel oil,SELL
which company buys tapioca starch,SELL
buyers for calcium carbonate,SELL
I want to export sunflower oil,SELL
looking to sell xanthan gum,SELL
find customers for our guar gum,SELL
who pays for lactose powder,SELL
buyers for our citric acid,SELL
export our glucose syrup,SELL
top 5 dextrose anhydrous suppliers,F6_TOPK
best dextrose suppliers by volume,F6_TOPK
rank cotton buyers,F6_TOPK
top 3 wheat importers,F6_TOPK
highest volume rice sellers,F6_TOPK
top 10 palm oil exporters,F6_TOPK
best 5 sugar suppliers,F6_TOPK
top suppliers of lactose,F6_TOPK
recommend top wheat flour suppliers,F6_TOPK
suggest 5 best glucose importers,F6_TOPK
highest paying buyers for dextrose,F6_TOPK
top ranked sucrose exporters,F6_TOPK
best 3 starch suppliers by shipments,F6_TOPK
top maize importers worldwide,F6_TOPK
highest volume sodium chloride sellers,F6_TOPK
rank 5 palm oil buyers,F6_TOPK
top paying importers of citric acid,F6_TOPK
recommend 3 casein suppliers,F6_TOPK
best buyers of tapioca starch ranked,F6_TOPK
top 5 cocoa butter suppliers,F6_TOPK
most active dextrose sellers,F6_TOPK
best sources for lactose monohydrate by volume,F6_TOPK
top 3 whey protein exporters,F6_TOPK
highest volume rice starch buyers,F6_TOPK
suggest best sunflower oil suppliers,F6_TOPK
rank top glucose syrup suppliers,F6_TOPK
top 5 vitamin C suppliers,F6_TOPK
best wheat starch exporters,F6_TOPK
suggest top suppliers for xanthan gum,F6_TOPK
highest volume maize starch buyers,F6_TOPK
which countries import cotton most,F7_COMPARE
compare sugar demand by country,F7_COMPARE
highest wheat importing countries,F7_COMPARE
compare rice exporters by country,F7_COMPARE
best markets for lactose,F7_COMPARE
which countries buy the most palm oil,F7_COMPARE
country breakdown for dextrose imports,F7_COMPARE
where is highest demand for sugar,F7_COMPARE
buyers by country for citric acid,F7_COMPARE
country comparison for sodium chloride,F7_COMPARE
which country imports most wheat starch,F7_COMPARE
compare global demand for maize,F7_COMPARE
best export destinations for dextrose,F7_COMPARE
which country buys most sucrose,F7_COMPARE
country analysis for palm kernel oil imports,F7_COMPARE
import breakdown by country for glucose,F7_COMPARE
top importing countries for lactose,F7_COMPARE
compare markets for rice starch,F7_COMPARE
which countries have highest demand for starch,F7_COMPARE
best country for selling soy lecithin,F7_COMPARE
which markets import most sunflower oil,F7_COMPARE
country comparison for whey protein buyers,F7_COMPARE
where does Pakistan import most sugar from,F7_COMPARE
import sources by country for citric acid,F7_COMPARE
global comparison of wheat importers,F7_COMPARE
breakdown of palm oil imports by origin,F7_COMPARE
compare dextrose buyers across countries,F7_COMPARE
which countries export most tapioca starch,F7_COMPARE
country breakdown for cocoa butter imports,F7_COMPARE
top markets for guar gum globally,F7_COMPARE
has Nestle purchased palm oil,F8_EVIDENCE
did Company X buy sugar,F8_EVIDENCE
show me transactions for ABC Corp,F8_EVIDENCE
verify shipments from XYZ Ltd,F8_EVIDENCE
evidence of rice purchase by company,F8_EVIDENCE
has Al Khaleej Sugar bought dextrose,F8_EVIDENCE
transaction history for Friesland Campina,F8_EVIDENCE
show invoices for Nestle Pakistan,F8_EVIDENCE
verify lactose purchases by Fonterra,F8_EVIDENCE
record of palm oil deals by IOI Group,F8_EVIDENCE
did Shandong Pharma import dextrose,F8_EVIDENCE
proof that Company A buys citric acid,F8_EVIDENCE
shipments received by Muller Phipps,F8_EVIDENCE
show me past purchases by P&G,F8_EVIDENCE
verification of sugar transactions for Engro,F8_EVIDENCE
has Novartis bought pharmaceutical sugar,F8_EVIDENCE
evidence of wheat purchases by Allied Milling,F8_EVIDENCE
transaction record for ICI Pakistan,F8_EVIDENCE
invoices showing starch purchases by Reckitt,F8_EVIDENCE
show all deals for Lakson Group,F8_EVIDENCE
past purchases of maize starch by GSK,F8_EVIDENCE
verify sodium chloride imports by Searle,F8_EVIDENCE
deal history for Atlas Group,F8_EVIDENCE
has Shan Foods bought palm oil,F8_EVIDENCE
transaction proof for Unilever Pakistan,F8_EVIDENCE
history of casein purchases by Dairy Farm,F8_EVIDENCE
show me what Agro Processors bought,F8_EVIDENCE
evidence that Olam buys palm kernel oil,F8_EVIDENCE
verification of citric acid deals by BF Suma,F8_EVIDENCE
