company_name,description,type,year_established,employees,website
7 Paramounts,"Confectionery manufacturer and exporter (candies, biscuits, gums)",Manufacturer (Food/Confectionery),,,https://7paramounts.com/
Aamir Food Industries,"Food manufacturing company producing spices, seasonings and related products",Manufacturer (Food),,,https://www.aamirfood.com/
AB Astepsworth,Business/trading entity with limited public information,Trading/Distributor,,,https://abastepsworth.com/
Best Buy Brands,Consumer goods trading and brand distribution company,Distributor/Trading,,,https://thebestbuybrands.com/
Emrays,E-commerce and product sourcing platform,E-commerce/Trading,,,https://emrays.us/
Industrial Design Services (IDS),Engineering and industrial services provider,Services (Engineering/Industrial),,,https://www.i-d-s.com/
JRS Pharma,Global manufacturer of pharmaceutical excipients,Manufacturer (Pharma Excipients),,,https://www.jrspharma.com/
Leprino Foods,"Dairy company producing cheese, whey and dairy ingredients",Manufacturer (Dairy/Food),1950,,https://leprino.com/
Makeup4U,Online cosmetics and beauty products retailer,E-commerce (Cosmetics),,,https://makeup4uonline.com/
Meggle Group,International dairy and food ingredient manufacturer,Manufacturer (Food/Dairy),1887,,https://www.meggle-group.com/
Shiprose,Logistics/shipping and sourcing services platform,Logistics/Trading,,,https://shiprose.com/
Sethness Roquette,Manufacturer of caramel colors and food ingredients,Manufacturer (Food Ingredients),,,https://www.sethness-roquette.com/
Advan Pharma,Pharmaceutical manufacturing company,Manufacturer (Pharma),,,http://www.advanpharma.com.cn/
Aipu Food Industry,Food ingredients and flavor manufacturer,Manufacturer (Food Ingredients),,,https://www.aipufood.com/
Anhui Ebuy International,Export/import trading company,Trading,,,https://anhui-ebuy-international-co-ltd.imexbb.com/
Kemfood International,Food ingredients supplier and distributor,Distributor (Food Ingredients),,,https://www.kemfood.com/
Apeloa Pharmaceutical,Pharmaceutical manufacturer (APIs and intermediates),Manufacturer (Pharma),,,https://www.apeloa.com/
Arshine Food Additives,Supplier of food additives and ingredients,Distributor (Food Ingredients),,,https://www.arshinefoodadditives.com/
Arshine Chemical,Chemical products supplier and exporter,Distributor (Chemicals),,,https://arshinechem.com/
Changsha Vigorous Tech Co Ltd,"Manufacturer of botanical extracts, mushroom extracts, fruit/vegetable powders, and natural sweeteners.",Manufacturer (Botanical Extracts),2005,,https://www.vigorous-tech.com/
Cargill Bio-chemical Co Ltd,"Global producer of food ingredients, agricultural services, and industrial bio-products.",Manufacturer (Food/Bio-ingredients),1865,,https://www.cargill.com
Access USA Shipping (MyUS),International shipping and package forwarding service provider.,Logistics/Shipping,1997,,https://www.myus.com/
Bluebird Commodities FZCO,"Trading company specializing in agricultural products, petroleum, and commodities.",Trading (Commodities),2006,,https://bluebird-uae.com/
Molekula Ltd,Manufacturer and distributor of fine chemicals and specialty reagents.,Manufacturer/Distributor (Chemicals),2000,,https://molekula.com/
Rayburn Trading Co Ltd,"Independent FMCG wholesaler specializing in toiletries, cosmetics, and household goods.",Distributor (FMCG),1948,,https://www.rayburntrading.com/
Fonterra Ltd,"Global dairy co-operative producing milk powders, cheese, butter, and dairy ingredients.",Manufacturer (Dairy),2001,,https://www.fonterra.com/
Alpavit Gmbh & Co Kg,Manufacturer of high-quality whey and milk derivatives for the food and pharma industries.,Manufacturer (Whey/Milk Ingredients),1988,,https://www.alpavit.de/
Dangschat T.O.H Gmbh & Co Kg,"Trading house specializing in food ingredients, particularly for the Latin American market.",Trading (Food Ingredients),1950,,https://www.dangschat-toh.com/
Doehler Gmbh,Global producer of technology-driven natural ingredients and systems for food and beverages.,Manufacturer (Food Ingredients),1838,,https://www.doehler.com/
Karl Geuther Handels-Gmbh & Co Kg,"Logistics and shipping group providing transport, port handling, and freight forwarding services.",Logistics/Shipping,1958,,https://www.geuther.com/
Meggle Africa And Middle East Dmcc,"Regional branch of Meggle Group, producing dairy products and functional food ingredients.",Manufacturer (Dairy),2011,,https://www.meggle.ae/
Milchwerke Mittelelbe Gmbh,"Manufacturer of dried milk products and infant nutrition, part of the Krüger Group.",Manufacturer (Dairy/Infant Nutrition),1949,,https://www.elb-milch.de/
Sachsenmilch Leppersdorf Gmbh,"Large European dairy producing cheese, milk powders, whey proteins, and infant nutrition ingredients.",Manufacturer (Dairy),1990,,http://www.sachsenmilch.de
Suedzucker Ag,"Europe's largest sugar producer, also active in fruit, starch, and biofuel segments.",Manufacturer (Sugar),1926,,https://www.suedzuckergroup.com/
Wheyco Gmbh,Manufacturer and supplier of high-quality whey protein and lactose products.,Manufacturer (Whey Products),2004,,https://www.wheyco.de/
Tate & Lyle Sugars,"Refiner and manufacturer of cane sugar, syrups, and specialty sweetener products.",Manufacturer (Sugar),1878,,https://www.tateandlylesugars.com/
ASR Group,"World's largest cane sugar refining company, producing Domino Sugar and C&H brands.",Manufacturer (Sugar),1998,,https://asr-group.com/
Bakbel Europe SA,"Manufacturer of premium fruit-based ingredients, glazes, and fillings for the pastry industry.",Manufacturer (Fruit Ingredients),2007,,https://www.bakbel.com/
Greyhound Chromatography,"Supplier of chromatography consumables, certified reference standards, and laboratory chemicals.",Distributor (Laboratory Supplies),1981,,https://www.greyhoundchrom.com/
S&S Trading,Online trading and distribution company focusing on FMCG products.,Trading/E-commerce,2023,,https://sstrading.co.uk/
Armor Proteines,"Manufacturer of specialized dairy ingredients, including bioactive proteins and minerals.",Manufacturer (Dairy Ingredients),1910,,https://www.armor-proteines.com/
Lactalis Ingredients,"Global supplier of dairy ingredients, including whey powders, proteins, and minerals.",Manufacturer (Dairy Ingredients),1933,,https://www.lactalisingredients.com/
Signet Excipients,Major distributor of pharmaceutical excipients and specialty chemicals in India.,Distributor (Pharma Excipients),1986,,https://www.signetexcipients.com/
